listing.id,listing.user.id,listing.is_superhost,listing.city,listing.name,listing.property_type_id,listing.room_and_property_type,listing.space_type,listing.avg_rating,listing.reviews_count,listing.picture_count,listing.bathrooms,listing.bedrooms,listing.beds,listing.person_capacity,listing.cancel_policy,listing.is_new_listing,listing.lat,listing.lng,listing.max_nights,listing.min_nights,pricing_quote.can_instant_book,pricing_quote.monthly_price_factor,pricing_quote.rate.amount,pricing_quote.weekly_price_factor
42664313,63119857,False,Ector County,Location is Great in between Midland and Odessa,2,Private room in house,Private room,,0,29,2.5,4,0.0,6,CANCEL_FLEXIBLE,False,31.93585,-102.29824,365,1,False,0.8,50.0,0.9
43186999,343872445,False,Gardendale,Oasis in the Wild Wild West,2,Entire house,Entire house,,2,46,2.0,3,3.0,6,CANCEL_STRICT_14_WITH_GRACE_PERIOD,True,32.01756,-102.28669,1125,4,True,1.0,165.0,1.0
29178930,168749906,False,Gardendale,Wild Horse Ranch in beautiful West Texas,2,Entire house,Entire house,,2,7,1.0,2,2.0,3,CANCEL_FLEXIBLE,False,32.02713,-102.34724,1125,3,True,1.0,150.0,1.0
41459634,212335944,False,Midland,Downtown East,2,Entire house,Entire house,4.27,15,22,1.0,2,2.0,6,CANCEL_MODERATE,False,32.00942,-102.07725,1125,1,True,0.7,60.0,0.85
39750801,302762155,False,Midland,Cozy Suite Just Outside Downtown Midland,1,Entire apartment,Entire apartment,,2,24,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,31.98801,-102.14807,90,1,True,0.8,60.0,0.9
42811488,302762155,False,Midland,Beautiful 1-Bedroom Flat Near Downtown Midland,1,Entire apartment,Entire apartment,,2,23,1.0,1,3.0,3,CANCEL_FLEXIBLE,False,31.98763,-102.14918,90,1,True,0.8,60.0,0.9
39731777,302762155,False,Midland,Newly Renovated Suite in the Heart of Midland,1,Entire apartment,Entire apartment,,1,24,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,31.9867,-102.14799,90,1,True,0.8,55.0,0.9
39461675,302762155,False,Midland,Modern Suite Just Outside Downtown Midland,1,Entire apartment,Entire apartment,4.25,4,19,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,32.03264,-102.13565,90,1,True,0.8,55.0,0.9
34843153,245624303,True,Midland,Unattached Corporate Suite - Solitude in the city,40,Entire guesthouse,Entire guesthouse,5.0,6,16,1.0,1,1.0,2,CANCEL_FLEXIBLE,False,32.01845,-102.19384,1125,2,False,0.75,130.0,0.9
41181109,264369827,False,Midland,"Newly Remodeled, Non-Smoking Home in North Midland",2,Entire house,Entire house,5.0,4,27,2.0,3,4.0,8,CANCEL_MODERATE,False,32.03123,-102.11764,1125,2,False,0.82,145.0,0.9
41340614,41916063,True,Midland,Quiet 2 bedroom,1,Entire apartment,Entire apartment,,2,16,2.0,2,2.0,4,CANCEL_FLEXIBLE,False,32.05279,-102.13168,30,3,True,1.0,120.0,1.0
43093988,157392947,False,Midland,Club Shakes,36,Entire townhouse,Entire townhouse,,0,17,2.0,2,2.0,4,CANCEL_FLEXIBLE,True,32.00931,-102.0847,1125,2,True,0.65,199.0,0.9
42231621,174750939,True,Midland,The Condo,37,Entire condominium,Entire condominium,,0,23,1.0,1,1.0,2,CANCEL_FLEXIBLE,False,32.03705,-102.13129,1125,2,True,1.0,125.0,1.0
39586648,156708933,True,Midland,Not so rough for a roughneck!,36,Private room in townhouse,Private room,,1,14,1.5,1,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,32.02399,-102.08839,1125,4,True,0.8,40.0,0.88
39416859,302762155,False,Midland,Newly Renovated Midland Suite,1,Entire apartment,Entire apartment,4.86,7,20,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,32.03299,-102.13536,90,1,True,0.8,74.0,0.9
13128133,72780510,True,Midland,Comfortable and Quaint - Drawer and Closet Space,2,Private room in house,Private room,4.89,19,10,1.0,1,1.0,2,CANCEL_MODERATE,False,32.00711,-102.10028,90,1,False,0.3,59.0,0.6
40944218,160926947,False,Midland,The Destination Guest House,2,Entire house,Entire house,4.8,5,1,2.5,4,4.0,5,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,31.98666,-102.08857,1125,1,True,0.85,150.0,0.9
39445459,302762155,False,Midland,Relaxing Suite in the Heart of Midland,1,Entire apartment,Entire apartment,3.75,8,18,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,32.03328,-102.13429,90,1,True,0.8,55.0,0.9
39444991,302762155,False,Midland,Newly Renovated Flat in the Heart of Midland!,1,Entire apartment,Entire apartment,4.25,4,17,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,32.0347,-102.13564,90,1,True,0.8,55.0,0.9
39443640,302762155,False,Midland,Modern Flat in the Heart of Midland!,1,Entire apartment,Entire apartment,3.57,7,18,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,32.03307,-102.13405,90,1,True,0.8,60.0,0.9
39445546,302762155,False,Midland,Cozy Midland Flat in Central Location,1,Entire apartment,Entire apartment,4.75,4,14,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,32.03466,-102.13593,90,1,True,0.8,55.0,0.9
38038364,153682556,True,Midland,Right At Home-Luxury Executive Retreat,2,Entire house,Entire house,5.0,30,44,2.5,4,5.0,8,CANCEL_FLEXIBLE,False,32.01524,-102.17277,1125,1,False,1.0,222.0,1.0
39447290,302762155,False,Midland,Relaxing Suite Just Outside Downtown Midland,1,Entire apartment,Entire apartment,4.25,4,19,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,32.03303,-102.13598,90,1,True,0.8,55.0,0.9
39447499,302762155,False,Midland,Modern Home  in the Heart of Midland,1,Entire apartment,Entire apartment,4.22,9,16,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,32.03248,-102.13473,90,1,True,0.8,55.0,0.9
